"","ID","lat","lon","c_lat","c_lon","u_powl","pres"
"1",50,-24.24875,151.92559,2,2,"YES",1
"2",51,-24.22063,151.91521,2,2,"YES",1
"3",57,-35.37029,147.69592,2,2,"YES",1
"4",58,-35.35904,147.69889,2,2,"YES",1
"5",59,-35.37861,147.70451,2,2,"YES",1
"6",60,-35.36651,147.70689,2,2,"YES",1
"7",217,-32.4816,116.93472,2,2,"YES",1
"8",253,-27.38736,152.88025,2,2,"YES",1
"9",254,-27.38566,152.87758,2,2,"YES",1
"10",255,-27.39215,152.87546,2,2,"YES",1
"11",256,-27.38869,152.87145,2,2,"YES",1
